id,parent_id,leaf,name,label,detail,link,pmid,sort,root_url,sample_url,field_type,keyword_searchable,value_type,version
60,26,True,ANNOVAR_refseq_Gene_ID,,"""RefSeq gene IDs corresponding to transcripts. Multiple IDs are separated by ""|"" The order corresponds to ANNOVAR_refseq_Transcript_ID""",,,,,,text,True,,
61,26,True,ANNOVAR_refseq_HGVSc,,"""variant in format of HGVSc. Multiple annotations are separated by ""|"" The order corresponds to ANNOVAR_refseq_Transcript_ID""",,,,,,text,True,,
62,26,True,ANNOVAR_refseq_HGVSp,,"""variant in format of HGVSp. Multiple annotations are separated by ""|"" The order corresponds to ANNOVAR_refseq_Transcript_ID""",,,,,,text,True,,
73,26,True,ANNOVAR_refseq_Transcript_ID,,"""RefSeq transcript IDs corresponding to consequences. Multiple IDs are separated by ""|""""",,,,https://www.ncbi.nlm.nih.gov/nuccore/,https://www.ncbi.nlm.nih.gov/nuccore/NM_130386,text,True,,
74,26,True,ANNOVAR_refseq_summary,,"""ANNOVAR consequence summary with RefSeq as gene model. Format: GeneID(total number of transcripts):consequence#1(number of transcripts affected) consequence#2(number of transcripts affected)... Multiple genes are separated by ""|""""",,,,,,text,True,,
55,26,True,ANNOVAR_refseq_GO_biological_process_complete_list_id,ANNOVAR refseq GO biological process complete,"The complete GO biological process annotations queried through PANTHER API for IDs corresponding to  ANNOVAR_refseq_Transcript_ID column. If there is more than one gene ID, a non-redundant list of GO terms from all genes is shown here.",,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
57,26,True,ANNOVAR_refseq_GO_cellular_component_complete_list_id,ANNOVAR refseq GO cellular component complete,"The complete GO cellular component annotations queried through PANTHER API for IDs corresponding to ANNOVAR_refseq_Transcript_ID column. If there is more than one gene ID, a non-redundant list of GO terms from all genes is shown here.",,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
59,26,True,ANNOVAR_refseq_GO_molecular_function_complete_list_id,ANNOVAR refseq GO molecular function complete,"The complete GO molecular function annotations queried through PANTHER API for IDs corresponding to ANNOVAR_refseq_Transcript_ID column. If there is more than one gene ID, a non-redundant list of GO terms from all genes is shown here.",,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
64,26,True,ANNOVAR_refseq_PANTHER_GO_SLIM_biological_process_list_id,ANNOVAR refseq PANTHER GO-Slim Biological Process,"The PANTHER GO-Slim Biological Process annotations queried through PANTHER API for IDs corresponding to ANNOVAR_refseq_Transcript_ID column. If there is more than one gene ID, a non-redundant list of GO terms from all genes is shown here..",,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO release 2024-01-17, released 2024-06-20"
66,26,True,ANNOVAR_refseq_PANTHER_GO_SLIM_cellular_component_list_id,ANNOVAR refseq PANTHER GO-Slim Cellular Component,"The PANTHER GO-Slim Cellular Component annotations queried through PANTHER API for IDs corresponding to ANNOVAR_refseq_Transcript_ID column. If there is more than one gene ID, a non-redundant list of GO terms from all genes is shown here.",,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO release 2024-01-17, released 2024-06-20"
